"theta","sigma","n","nm.cov.mu","nm.lower.mu","nm.upper.mu","mv.cov.mu","mv.lower.mu","mv.upper.mu","nm.cov.theta","nm.lower.theta","nm.upper.theta","mv.cov.theta","mv.lower.theta","mv.upper.theta","nm.cov.sigsq","nm.lower.sigsq","nm.upper.sigsq","mv.cov.sigsq","mv.lower.sigsq","mv.upper.sigsq"
0,0.1,32,0.875,0.864751103004306,0.885248896995694,0.88625,0.876410525101894,0.896089474898106,0.91475,0.906096007823068,0.923403992176932,0.96875,0.963358011416993,0.974141988583007,0.85175,0.840737865237436,0.862762134762564,0.85225,0.841253224852137,0.863246775147863
0,0.1,64,0.91775,0.909235713785218,0.926264286214782,0.92425,0.91605018331206,0.93244981668794,0.9485,0.941650791649604,0.955349208350396,0.98225,0.97815806908515,0.98634193091485,0.9055,0.89643478253264,0.91456521746736,0.90275,0.893567802095568,0.911932197904432
0,0.1,128,0.91975,0.911330709123325,0.928169290876675,0.9255,0.917362622883844,0.933637377116156,0.93875,0.931319019581669,0.946180980418331,0.96875,0.963358011416993,0.974141988583007,0.9115,0.902698269491415,0.920301730508585,0.9205,0.912116728023413,0.928883271976587
0,0.1,256,0.94025,0.932904713816749,0.947595286183251,0.94275,0.935550470569045,0.949949529430955,0.95325,0.946707973335356,0.959792026664644,0.9685,0.963087184989836,0.973912815010164,0.92725,0.919201165172744,0.935298834827256,0.93175,0.923935177397496,0.939564822602504
0,0.1,512,0.941,0.933698049023273,0.948301950976727,0.9425,0.935285724933093,0.949714275066907,0.95375,0.947241345186053,0.960258654813947,0.96925,0.963899941137469,0.974600058862531,0.9375,0.929998575505695,0.945001424494305,0.935,0.927360224809792,0.942639775190208
0.2,0.1,32,0.8735,0.863198634114784,0.883801365885216,0.874,0.863716070654048,0.884283929345952,0.83175,0.820157101417307,0.843342898582693,0.903,0.893828342304095,0.912171657695905,0.82375,0.811941890495827,0.835558109504173,0.82475,0.812968291569079,0.836531708430921
0.2,0.1,64,0.90975,0.900870209231323,0.918629790768677,0.90875,0.899826057899859,0.917673942100141,0.8725,0.862163918964562,0.882836081035438,0.92075,0.912378783103314,0.929121216896686,0.887,0.877188867814353,0.896811132185647,0.88875,0.879005536974559,0.898494463025441
0.2,0.1,128,0.91875,0.910283021514652,0.927216978485348,0.919,0.910544907552935,0.927455092447065,0.89975,0.890442753555221,0.909057246444779,0.9185,0.91002115921787,0.92697884078213,0.90725,0.898260437774519,0.916239562225481,0.91175,0.902959504855534,0.920540495144466
0.2,0.1,256,0.934,0.92630579946416,0.94169420053584,0.9395,0.932111705897104,0.946888294102896,0.90225,0.893046777458412,0.911453222541588,0.92,0.911592691138017,0.928407308861983,0.924,0.915787774293402,0.932212225706598,0.92775,0.919726709766873,0.935773290233127
0.2,0.1,512,0.937,0.92947063821356,0.94452936178644,0.93475,0.927096570425129,0.94240342957487,0.894,0.884460188632836,0.903539811367164,0.91075,0.901914689883491,0.919585310116509,0.932,0.924198456976016,0.939801543023984,0.93275,0.924988478433904,0.940511521566096
0.2,0.1,1024,0.938,0.93052664935962,0.94547335064038,0.93825,0.930790737978805,0.945709262021195,0.9,0.890703074515432,0.909296925484568,0.911,0.90217586208569,0.91982413791431,0.94,0.932640341762569,0.947359658237431,0.94075,0.933433567231141,0.948066432768858
0.2,0.1,2048,0.94425,0.937139763802309,0.951360236197691,0.943,0.935815254822349,0.950184745177651,0.8865,0.876669957486665,0.896330042513335,0.894,0.884460188632836,0.903539811367164,0.946,0.938995767665255,0.953004232334745,0.9465,0.939526427898889,0.953473572101111
0.4,0.1,32,0.83925,0.82786745800931,0.85063254199069,0.83625,0.824782287008961,0.847717712991039,0.675,0.660485179739403,0.689514820260597,0.74675,0.733273396903754,0.760226603096246,0.78425,0.771502625022304,0.796997374977696,0.78,0.76716260994564,0.79283739005436
0.4,0.1,64,0.8805,0.870447670210982,0.890552329789018,0.86975,0.859319522752875,0.880180477247125,0.70425,0.690106923195423,0.718393076804577,0.757,0.743708647627823,0.770291352372177,0.856,0.845119816406948,0.866880183593052,0.857,0.846151329344859,0.867848670655141
0.4,0.1,128,0.902,0.8927862929025,0.9112137070975,0.902,0.8927862929025,0.9112137070975,0.76075,0.747528977354853,0.773971022645147,0.796,0.78351209135664,0.80848790864336,0.89425,0.884720112852119,0.903779887147881,0.89725,0.887840517386226,0.906659482613774
0.4,0.1,256,0.91375,0.905050158463705,0.922449841536295,0.91575,0.907142212960885,0.924357787039115,0.76075,0.747528977354853,0.773971022645147,0.7805,0.76767309697553,0.79332690302447,0.90825,0.899304104204233,0.917195895795767,0.91425,0.905573039024595,0.922926960975405
0.4,0.1,512,0.927,0.918938434397476,0.935061565602524,0.92625,0.918150406593395,0.934349593406605,0.68775,0.673389002109421,0.702110997890579,0.71775,0.703801687421957,0.731698312578043,0.92825,0.920252365970415,0.936247634029585,0.928,0.919989523850552,0.936010476149448
0.4,0.1,1024,0.93425,0.92656935792255,0.94193064207745,0.93575,0.928151382574333,0.943348617425667,0.72225,0.708370017951793,0.736129982048207,0.73925,0.725644142424525,0.752855857575475,0.93725,0.929734589884762,0.944765410115238,0.9385,0.931054861320161,0.945945138679839
0.4,0.1,2048,0.94125,0.933962567830419,0.948537432169581,0.94175,0.934491717378821,0.949008282621179,0.6415,0.626638556124144,0.656361443875856,0.63825,0.623359208695956,0.653140791304044,0.9415,0.934227123874259,0.948772876125741,0.943,0.935815254822349,0.950184745177651
0.4,0.1,4096,0.939,0.931583212963308,0.946416787036691,0.9395,0.932111705897104,0.946888294102896,0.5705,0.555159924262981,0.585840075737019,0.559,0.54361337766907,0.57438662233093,0.946,0.938995767665255,0.953004232334745,0.94925,0.942448159847028,0.956051840152973
0.4,0.1,8192,0.94325,0.936080077931889,0.950419922068112,0.942,0.934756348570516,0.949243651429484,0.50125,0.485755172613949,0.516744827386051,0.50125,0.485755172613949,0.516744827386051,0.94025,0.932904713816749,0.947595286183251,0.94175,0.934491717378821,0.949008282621179
0.2,0.1,4096,0.94425,0.937139763802309,0.951360236197691,0.94725,0.94032273767041,0.954177262329591,0.86525,0.854668352592098,0.875831647407902,0.881,0.870965874461335,0.891034125538665,0.943,0.935815254822349,0.950184745177651,0.942,0.934756348570516,0.949243651429484
